Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
4,Henderson Academy,16101 West Chicago St,Detroit,MI,48228,488,238,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3642600000001, -83.2654899999999)"
5,"Holmes, A.L.  Elementary-Middle School",8950 Crane St,Detroit,MI,48213,329,108,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3948, -83.0144099999999)"
18,Medicine and Community Health Academy at Cody,18445 Cathedral St,Detroit,MI,48228,0,0,387,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.360748416, -83.221019843)"
22,Detroit Institute of Technology at Cody,18445 Cathedral St,Detroit,MI,48228,0,0,260,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3606603760001, -83.220862799)"
26,Cody Academy of Public Leadership,18445 Cathedral St,Detroit,MI,48228,0,0,248,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3607888670001, -83.221769374)"
29,Davis Aerospace High School,900 Dickerson St,Detroit,MI,48215,0,0,156,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3697100000001, -82.9512999999999)"
30,Osborn College Preparatory Academy,11600 East 7 Mile Rd,Detroit,MI,48205,0,0,158,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4336300000001, -83.00357)"
32,Osborn Academy of Mathematics,11600 East 7 Mile Rd,Detroit,MI,48205,0,0,191,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4336300000001, -83.00357)"
35,Osborn Evergreen Academy of Design and Alternative Energy,11600 East 7 Mile Rd,Detroit,MI,48205,0,0,322,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4336300000001, -83.00357)"
39,Detroit International Academy for Young Women,9026 Woodward Ave,Detroit,MI,48202,90,72,199,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,"location
(42.38273, -83.08045)"
101,Henry Ford Academy: School for Creative Studies (PSAD),485 W Milwaukee St,Detroit,MI,48202,0,362,487,82,Wayne RESA,82703,Henry Ford Academy: School for Creative Studies (PSAD),PSA School,Wayne,5133,Grand Valley State University,"Creative Urban Education, Inc.","6,7,8,9,10,11,12","6,7,8,9,10,11,12",0,1,1,"location
(42.3678600000001, -83.0753999999999)"
103,Ann Arbor Trail Magnet School,7635 Chatham,Detroit,MI,48239,184,98,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3467000000001, -83.2603)"
133,Lincoln-King Academy,13436 Grove St,Detroit,MI,48235,395,189,0,82,Wayne RESA,82719,Washington-Parks Academy,PSA School,Wayne,5133,Grand Valley State University,Cornerstone Charter Schools,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.41432, -83.1778399999999)"
168,Bagley Elementary School,8100 Curtis St,Detroit,MI,48221,286,39,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6","KG,1,2,3,4,5,6",1,1,0,"location
(42.42479, -83.15219)"
173,Cesar Chavez Academy Intermediate,4100 Martin St,Detroit,MI,48210,437,0,0,82,Wayne RESA,82918,Cesar Chavez Academy,PSA School,Wayne,4884,Saginaw Valley State University,Leona Group,"3,4,5","3,4,5",1,0,0,"location
(42.32906, -83.12521)"
176,Golightly Education Center,5536 Saint Antoine St,Detroit,MI,48202,273,90,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3648900000001, -83.05897)"
238,"Clemente, Roberto Academy",1551 Beard St,Detroit,MI,48209,658,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.3093900000001, -83.11614)"
277,Bennett Elementary School,2111 Mullane St,Detroit,MI,48209,497,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.30922, -83.12963)"
334,Detroit Leadership Academy Elementary,13550 Virgil,Detroit,MI,48223,300,0,0,82,Wayne RESA,82722,Detroit Leadership Academy,PSA School,Wayne,5017,Central Michigan University,Equity Education,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.38442, -83.27064)"
367,Legacy Charter Academy,4900 E. Hildale Street,Detroit,MI,48234,518,239,0,82,Wayne RESA,82723,Legacy Charter Academy,PSA School,Wayne,5133,Grand Valley State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4291000000001, -83.05441)"
378,University Yes Academy,14717 Curtis Street,Detroit,MI,48235,337,272,0,82,Wayne RESA,82724,University Yes Academy,PSA School,Wayne,7838,Bay Mills Community College,New Paradigm For Education,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",1,1,0,"location
(42.4226200000001, -83.1917)"
446,Bunche Elementary-Middle School,2715 Macomb Street,Detroit,MI,48207,351,166,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3443, -83.0237999999999)"
456,Burns Elementary-Middle School,14350 Terry St,Detroit,MI,48227,259,107,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"DevK,KG,1,2,3,4,5,6,7,8","DevK,KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3936, -83.19107)"
468,Burton International School,2001 Martin Luther King Jr. Blvd,Detroit,MI,48208,403,177,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3394200000001, -83.07837)"
506,University Preparatory Science and Math (PSAD) High School,2664 Franklin Street,Detroit,MI,48207,0,0,469,82,Wayne RESA,82701,University Preparatory Science and Math (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.33707, -83.02036)"
542,Carstens Elementary-Middle School,13000 Essex Avenue,Detroit,MI,48215,213,104,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.36409, -82.94834)"
546,Carver Elementary-Middle School,18701 Paul St,Detroit,MI,48228,218,83,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3356600000001, -83.22338)"
554,Cass Technical High School,2501 2Nd Ave,Detroit,MI,48201,0,0,2447,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3388400000001, -83.06038)"
617,Central High School,2425 Tuxedo Street,Detroit,MI,48206,0,0,353,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.38381, -83.11207)"
689,Chrysler Elementary School,1445 East Lafayette St,Detroit,MI,48207,163,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.33847, -83.03381)"
758,Jalen Rose Leadership Academy,15000 Trojan Street,Detroit,MI,48235,0,0,418,82,Wayne RESA,82728,Jalen Rose Leadership Academy,PSA School,Wayne,5017,Central Michigan University,American Promise Schools,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.44194, -83.19483)"
762,Regent Park Scholars Charter Academy,15865 East Seven Mile Road,Detroit,MI,48205,517,177,0,82,Wayne RESA,82727,Regent Park Scholars Charter Academy,PSA School,Wayne,5218,Lake Superior State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4360800000001, -82.95751)"
781,Cooke Elementary School,18800 Puritan St,Detroit,MI,48223,270,24,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6","KG,1,2,3,4,5,6",1,1,0,"location
(42.4087500000001, -83.2257099999999)"
853,Mackenzie Elementary-Middle School,10147 W Chicago,Detroit,MI,48204,746,370,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3654000000001, -83.15986)"
857,"Marshall, Thurgood Elementary School",15531 Linwood St,Detroit,MI,48238,416,162,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.40601, -83.12819)"
858,Munger Elementary-Middle School,5525 Martin,Detroit,MI,48216,662,293,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3372800000001, -83.13257)"
860,Earhart Elementary-Middle School,1000 Scotten Street,Detroit,MI,48209,398,339,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3160600000001, -83.0895399999999)"
865,Benjamin Carson School for Science and Medicine,571 Mack Avenue,Detroit,MI,48201,0,0,400,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3509300000001, -83.05207)"
880,Davison Elementary-Middle School,2800 East Davison St,Detroit,MI,48212,449,267,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.412112592, -83.069210262)"
902,Denby High School,12800 Kelly Road,Detroit,MI,48224,0,0,502,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.42666, -82.9568599999999)"
923,Bridge Academy West,3105 Carpenter Road,Detroit,MI,48212,0,295,0,82,Wayne RESA,82983,Bridge Academy,PSA School,Wayne,1224,Ferris State University,Global Educational Excellence,"6,7,8","6,7,8",0,1,0,"location
(42.40745, -83.06177)"
925,Dixon Elementary School,8401 Trinity Street,Detroit,MI,48228,276,173,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.35443, -83.24791)"
939,Dossin Elementary-Middle School,16650 Glendale St,Detroit,MI,48227,227,98,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3827200000001, -83.21063)"
975,Durfee Elementary-Middle School,2470 Collingwood St,Detroit,MI,48206,320,194,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.38167, -83.1117199999999)"
1043,King High School,3200 East Lafayette St,Detroit,MI,48207,0,0,1424,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3438, -83.01631)"
1084,Edison Elementary School,17045 Grand River Ave,Detroit,MI,48227,284,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.3974900000001, -83.21372)"
1087,GEE Edmonson Academy,1300 West Canfield St,Detroit,MI,48201,183,79,0,82,Wayne RESA,82731,GEE Edmonson Academy,PSA School,Wayne,82015,Detroit Public Schools Community District,Global Educational Excellence,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3491100000001, -83.07451)"
1134,Emerson Elementary-Middle School,18240 Huntington Rd,Detroit,MI,48219,388,166,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4230000000001, -83.23328)"
1170,Detroit Innovation Academy,18211 Plymouth Rd,Detroit,MI,48228,277,84,0,82,Wayne RESA,82739,Detroit Innovation Academy,PSA School,Wayne,5017,Central Michigan University,Equity Education,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3704200000001, -83.2180499999999)"
1189,East English Village Preparatory Academy,5020 Cadieux,Detroit,MI,48224,0,0,1432,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.40786, -82.92894)"
1214,Cornerstone Health and Technology School,17351 Southfield Road,Detroit,MI,48235,0,0,461,82,Wayne RESA,82741,Cornerstone Health and Technology School,PSA School,Wayne,5133,Grand Valley State University,Cornerstone Charter Schools,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4179836820001, -83.219454339)"
1240,Henry Ford Academy: School for Creative Studies - Elementary,10225 3Rd St,Detroit,MI,48202,390,0,0,82,Wayne RESA,82703,Henry Ford Academy: School for Creative Studies (PSAD),PSA School,Wayne,5133,Grand Valley State University,"Creative Urban Education, Inc.","KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.3865900000001, -83.09241)"
1241,W-A-Y Academy - Chicago Site,19321 W Chicago St,Detroit,MI,48228,0,17,124,82,Wayne RESA,82746,W-A-Y Academy,PSA School,Wayne,5218,Lake Superior State University,W-A-Y (Widening Advancements for Youth),"7,8,9,10,11,12","7,8,9,10,11,12",0,1,1,"location
(42.3642600000001, -83.2654899999999)"
1309,Madison-Carver Academy,19900 Mcintyre St,Detroit,MI,48219,441,138,0,82,Wayne RESA,82742,Madison-Carver Academy,PSA School,Wayne,5133,Grand Valley State University,Cornerstone Charter Schools,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.43692, -83.26284)"
1362,Gardner Elementary School,6528 Mansfield St,Detroit,MI,48228,259,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.33944, -83.20178)"
1369,Escuela Avancemos,3811 Cicotte Street,Detroit,MI,48210,302,0,0,82,Wayne RESA,82744,Escuela Avancemos,PSA School,Wayne,82015,Detroit Public Schools Community District,"Sanga Consulting, Inc.","KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.3281200000001, -83.1221399999999)"
1390,W-A-Y Academy - Vernor Site,8701 West Vernor Highway,Detroit,MI,48209,0,45,191,82,Wayne RESA,82746,W-A-Y Academy,PSA School,Wayne,5218,Lake Superior State University,W-A-Y (Widening Advancements for Youth),"7,8,9,10,11,12","7,8,9,10,11,12",0,1,1,"location
(42.30897, -83.13265)"
1438,Gompers Elementary-Middle School,14450 Burt Road,Detroit,MI,48223,524,269,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3924500000001, -83.2461499999999)"
1488,Capstone Academy Charter School (SDA) - South Campus,3500 John R Street,Detroit,MI,48201,0,11,84,82,Wayne RESA,82752,Capstone Academy Charter School (SDA),PSA School,Wayne,82015,Detroit Public Schools Community District,"edtec central, LLC","4,5,6,7,8,9,10,11,12","4,5,6,7,8,9,10,11,12",0,1,1,"location
(42.34741, -83.0552299999999)"
1493,Greenfield Union Elementary-Middle School,420 West 7 Mile Rd,Detroit,MI,48203,207,96,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.43262, -83.10776)"
1518,Mary McLeod Bethune Elementary-Middle School,8145 Puritan Street,Detroit,MI,48227,393,165,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"DevK,KG,1,2,3,4,5,6,7,8","DevK,KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4091000000001, -83.15172)"
1552,Palmer Park Preparatory Academy,3901 Margareta St,Detroit,MI,48221,195,197,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.42726, -83.1388499999999)"
1567,University Preparatory Science and Math - Elementary,2251 Antietam Ave,Detroit,MI,48207,513,0,0,82,Wayne RESA,82701,University Preparatory Science and Math (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.3480500000001, -83.03043)"
1574,Harms Elementary School,2400 Central St,Detroit,MI,48209,415,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.31435, -83.12465)"
